үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
520.0,"Баянзүрх, Баянзүрх, Хороо 26",Мод,1,2016.0,1,Модон вакум,16.0,Төмөр,110.0,15.0,0,5.0,1
245.0,Сүхбаатар,Паркет,1,2023.0,1,Вакум,16.0,Вакум,79.6,9.0,0,3.0,1
93.0,"Баянгол, Баянгол, Хороо 8",Паркет,0,2014.0,0,Вакум,9.0,Бүргэд,30.13,1.0,0,2.0,1
110.0,"Хан-Уул, Зайсан",Паркет,1,2010.0,0,Вакум,6.0,Бүргэд,32.0,1.0,0,2.0,1
390.0,"Хан-Уул, Яармаг",Паркет,2,2023.0,1,Вакум,16.0,Төмөр,114.09,16.0,0,4.0,1
656.796,"Хан-Уул, Яармаг",Паркет,2,2022.0,0,Вакум,10.0,Бүргэд,156.38,3.0,0,5.0,1
220.0,"Сонгинохайрхан, 1-р хороолол",Паркет,2,1989.0,0,Вакум,9.0,Бүргэд,90.0,4.0,0,5.0,1
115.0,"Сонгинохайрхан, 1-р хороолол",Мод,1,1985.0,0,Мод,9.0,Бүргэд,18.0,4.0,0,2.0,1
145.0,"Баянзүрх, Баянзүрх, Хороо 5",Паркет,0,2015.0,0,Вакум,3.0,Бүргэд,57.05,3.0,0,2.0,1
172.0,"Сонгинохайрхан, 1-р хороолол",Паркет,3,2008.0,0,Вакум,11.0,Бүргэд,75.0,10.0,0,4.0,1
182.475,"Хан-Уул, 19-р хороолол",Паркет,1,2017.0,0,Вакум,16.0,Бүргэд,40.55,12.0,0,2.0,1
678.1099999999999,"Сүхбаатар, Сүхбаатар, Хороо 2",Паркет,1,2008.0,1,Вакум,5.0,Төмөр,157.7,5.0,0,5.0,1
99.0,"Баянзүрх, Баянзүрх, Хороо 16",Паркет,1,2024.0,0,Вакум,16.0,Бүргэд,33.0,14.0,1,1.0,1
350.0,"Хан-Уул, Хан-Уул, Хороо 11",Паркет,2,2018.0,1,Вакум,9.0,Төмөр вакум,102.0,8.0,0,4.0,1
158.0,"Баянзүрх, Сансар",Паркет,0,2015.0,1,Вакум,12.0,Бүргэд,40.72,6.0,1,1.0,1
