,үнэ,хаяг,Тагт:,Гараж:,Барилгын давхар:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Нас,Цонх:_Бусад,Цонх:_Вакум,Дүүрэг_Баянгол,Дүүрэг_Баянзүрх,Дүүрэг_Налайх,Дүүрэг_Сонгинохайрхан,Дүүрэг_Сүхбаатар,Дүүрэг_Хан-Уул,Дүүрэг_Чингэлтэй,Хаалга:_Бусад,Хаалга:_Бүргэд,Хаалга:_Төмөр,Шал:_Бусад,Шал:_Паркет
577,349.59999999999997,Нархан хотхон,2,1,8.0,92.0,7.0,0,6.0,1,14.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
578,250.0,Метро Молл,2,0,9.0,78.0,2.0,1,5.0,1,12.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
579,125.0,19-р хороолол,1,0,5.0,30.0,5.0,0,2.0,1,38.0,False,True,False,False,False,False,False,True,False,False,True,False,True,False
580,126.0,Яармаг,1,0,12.0,46.6,6.0,1,2.0,0,0.0,False,True,False,False,False,False,False,True,False,False,False,True,False,True
581,120.0,14-р хороолол,1,0,15.0,40.8,5.0,0,1.0,1,3.0,False,True,False,True,False,False,False,False,False,False,False,True,False,True
582,302.211,Сүхбаатар,1,0,16.0,47.97,14.0,0,2.0,0,0.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
583,123.0,Viva city,0,0,5.0,41.6,5.0,1,3.0,1,10.0,False,True,False,False,False,False,False,True,False,False,False,True,False,True
584,110.0,21-р хороолол,1,0,12.0,39.5,9.0,0,2.0,1,9.0,False,True,False,False,False,True,False,False,False,False,True,False,False,True
585,229.6,Хан-Уул,1,0,12.0,82.0,7.0,0,3.0,1,6.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
586,488.048,Хүннү,1,0,23.0,82.72,13.0,0,3.0,0,0.0,False,True,False,False,False,False,False,True,False,False,False,True,True,False
587,175.0,Сүхбаатар,1,0,10.0,53.39,6.0,0,3.0,1,10.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
588,188.0,Мишээл,1,1,6.0,58.1,3.0,0,3.0,1,7.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
589,385.0,Хан-Уул,1,0,16.0,68.66,3.0,0,3.0,1,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
590,258.816,Натур худалдааны төв,1,0,12.0,80.88,5.0,1,5.0,1,14.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
591,258.0,Дөлгөөн нуур,1,1,16.0,72.24,12.0,0,3.0,1,1.0,False,True,False,False,False,False,True,False,False,False,False,True,False,True
592,381.5460000000001,0,0,0,15.0,81.18,13.0,0,4.0,1,0.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
593,159.48899999999998,Дөлгөөн нуур,1,0,16.0,48.33,5.0,0,2.0,1,0.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
594,198.0,13-р хороолол,1,0,12.0,60.0,2.0,0,2.0,1,10.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
595,159.192,Дөлгөөн нуур,1,0,16.0,48.24,9.0,0,2.0,1,0.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
596,370.0,Хан-Уул,2,1,15.0,92.07,13.0,1,4.0,1,9.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
