үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Байршил:
140400000.00,"УБ — Баянзүрх, Нохойтой хөшөө",Паркет,Тагтгүй,2024,Байхгүй,Вакум,15,Бүргэд,46.8 м²,4,Лизинггүй,2,Ашиглалтад ороогүй,
140400000.00,"УБ — Баянзүрх, Нохойтой хөшөө",Паркет,Тагтгүй,2024,Байхгүй,Вакум,15,Бүргэд,46.8 м²,4,Лизинггүй,2,Ашиглалтад ороогүй,
145000000.00,"УБ — Сүхбаатар, 100 айл",Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,45.0 м²,2,Лизинггүй,2,Ашиглалтад орсон,100 айл
194000000.00,"УБ — Баянгол, Баянгол, Хороо 9",Паркет,1 тагттай,2018,Байхгүй,Вакум,9,Бүргэд,69.3 м²,9,Лизинггүй,3,Ашиглалтад орсон,
335000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 16",Паркет,1 тагттай,2017,Байхгүй,Вакум,15,Бүргэд,71.0 м²,8,Лизинггүй,4,Ашиглалтад орсон,
335000000.00,УБ — Сүхбаатар,Паркет,1 тагттай,2022,Байхгүй,Вакум,15,Төмөр,72.0 м²,8,Банкны лизингтэй,4,Ашиглалтад орсон,
207200000.00,"УБ — Хан-Уул, Яармаг",Ламинат,1 тагттай,2024,Байхгүй,Вакум,12,Бүргэд,74.0 м²,7,Лизинггүй,3,Ашиглалтад орсон,
265000000.00,"УБ — Баянзүрх, Сансар",Ламинат,1 тагттай,2005,Байхгүй,Вакум,10,Төмөр,80.13 м²,9,Банкны лизингтэй,6,Ашиглалтад орсон,
240000000.00,УБ — Сүхбаатар,Паркет,1 тагттай,2014,Байхгүй,Вакум,9,Бүргэд,67.8 м²,3,Лизинггүй,3,Ашиглалтад орсон,
200000000.00,"УБ — Чингэлтэй, Чингэлтэй, Хороо 4",Мод,1 тагттай,1980,Байхгүй,Вакум,3,Вакум,55.0 м²,2,Лизинггүй,3,Ашиглалтад орсон,
110000000.00,"УБ — Хан-Уул, Зайсан",Паркет,Тагтгүй,2017,Байхгүй,Вакум,9,Бүргэд,30.0 м²,2,Лизинггүй,2,Ашиглалтад орсон,
120000000.00,"УБ — Баянзүрх, Офицер",Паркет,1 тагттай,2012,Байгаа,Вакум,5,Бүргэд,37.0 м²,3,Лизинггүй,2,Ашиглалтад орсон,
367010000.00,"УБ — Хан-Уул, King Tower",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,74.9 м²,2,Банкны лизингтэй,3,Ашиглалтад орсон,
129000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 3",Паркет,1 тагттай,2021,Байхгүй,Вакум,12,Бүргэд,46.15 м²,3,Лизинггүй,2,Ашиглалтад орсон,
4300000.00,УБ — Сүхбаатар,Паркет,Тагтгүй,2023,Байхгүй,Вакум,20,Бүргэд,112.1 м²,15,Лизинггүй,3,Ашиглалтад орсон,
1365000000.00,УБ — Сүхбаатар,Паркет,3+ тагттай,2018,Байгаа,Вакум,12,Бүргэд,210.0 м²,10,Банкны лизингтэй,5,Ашиглалтад орсон,
150000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 14",Паркет,1 тагттай,2018,Байхгүй,Вакум,12,Бүргэд,52.62 м²,11,Лизинггүй,3,Ашиглалтад орсон,
