үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
680.0,"УБ — Баянзүрх, Үндэсний цэцэрлэгт хүрээлэн",Паркет,1,2019,1,Вакум,15,Бүргэд,124.3,7,1,5,1
170.0,"УБ — Баянгол, Нарны хороолол",Паркет,1,2013,0,Вакум,12,Бүргэд,39.55,2,0,1,1
665.0,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1,2020,1,Вакум,15,Бүргэд,130.343,13,1,5,1
132.0,"УБ — Баянзүрх, Зүүн 4 зам",Паркет,0,2012,0,Вакум,12,Төмөр,40.0,2,0,2,1
880.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 5",Паркет,1,2008,0,Вакум,7,Төмөр,169.0,6,0,6,1
680.0,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,2,2020,0,Вакум,15,Бүргэд,124.3,7,1,8,1
180.0,"УБ — Баянгол, 10-р хороолол",Паркет,2,2007,0,Вакум,3,Бүргэд,90.0,2,0,4,1
665.0,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1,2014,0,Вакум,16,Бүргэд,180.0,2,1,6,1
463.07800000000003,"УБ — Хан-Уул, Зайсан",Паркет,1,2023,0,Төмөр вакум,10,Бүргэд,60.14,3,1,3,1
448.65000000000003,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1,2013,1,Вакум,15,Бүргэд,99.7,5,0,4,1
145.0,"УБ — Сонгинохайрхан, 5 шар",Паркет,1,2006,0,Вакум,5,Бүргэд,58.0,5,0,3,1
194.5,"УБ — Баянзүрх, Натур худалдааны төв",Паркет,1,2013,0,Вакум,12,Бүргэд,56.39,2,1,5,1
669.0,"УБ — Хан-Уул, 19-р хороолол",Ламинат,1,2023,1,Вакум,25,Бүргэд,84.72,12,0,4,1
186.054,"УБ — Баянгол, Модны 2",Паркет,1,2013,0,Вакум,13,Бүргэд,56.38,2,1,4,1
780.0,"УБ — Баянзүрх, Сансар",Паркет,2,2006,1,Вакум,12,Бүргэд,240.0,4,0,8,1
278.0,"УБ — Баянзүрх, Натур худалдааны төв",Паркет,2,2014,0,Вакум,12,Бүргэд,76.0,8,1,3,1
160.0,"УБ — Чингэлтэй, 40 мянгат",Паркет,1,2011,0,Вакум,12,Бүргэд,43.7,7,0,2,1
470.8,"УБ — Хан-Уул, Яармаг",Паркет,1,2023,1,Вакум,15,Төмөр,107.0,6,0,4,1
693.5999999999999,"УБ — Баянгол, Нарны хороолол",Паркет,1,2024,1,Вакум,16,Төмөр,136.0,7,0,5,1
705.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Паркет,1,2008,0,Вакум,7,Төмөр,150.0,7,0,6,1
520.0,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Мод,1,2016,1,Модон вакум,16,Төмөр,110.0,15,0,5,1
245.0,УБ — Сүхбаатар,Паркет,1,2023,1,Вакум,16,Вакум,79.6,9,0,3,1
656.796,"УБ — Хан-Уул, Яармаг",Паркет,2,2022,0,Вакум,10,Бүргэд,156.38,3,0,5,1
133.0,"УБ — Баянгол, Баянгол, Хороо 12",Паркет,1,1999,0,Вакум,9,Бүргэд,40.0,1,0,3,1
385.0,"УБ — Хан-Уул, 120 мянгат",Паркет,1,2017,0,Вакум,12,Бүргэд,73.1,9,1,3,1
494.0,"УБ — Хан-Уул, 19-р хороолол",Паркет,2,2013,1,Вакум,9,Бүргэд,141.0,3,0,6,1
186.0,"УБ — Баянгол, Модны 2",Паркет,1,2012,1,Вакум,12,Бүргэд,60.0,4,0,1,1
